epoch,learningRate,trainLoss,valLoss,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1
1,0.0003,1.7591294907610744,1.6542801136873206,0.2780309936189608,0.2648677932384524,0.2621308076695728,0.258424512112226,0.2834188766217461,0.3142857142857143,0.31040502207525084,0.31983792179400883,0.2691463536595973,0.28723538147167704
2,0.0003,1.6179363796030704,1.6350476479043765,0.35733819507748404,0.33951771662407054,0.34739035841900073,0.32753218400727985,0.35543815312274746,0.2857142857142857,0.3224728926708161,0.34887612085672237,0.2804832132725135,0.26287442145632933
3,0.0003,1.5659142425088526,1.5493366513933455,0.38742023701002737,0.36931933722418747,0.3816204040811501,0.3627548976764969,0.3902168455230651,0.3469387755102041,0.4225202523813634,0.38552031545342075,0.30126265416469716,0.3152459363392264
4,0.0003,1.5584022072954622,1.6042896630812664,0.39380127620783956,0.3814142995811603,0.3930253828550218,0.369137933993426,0.3912765802270692,0.34285714285714286,0.3682542129472898,0.3490867370482244,0.32071013421783606,0.3536716184784027
5,0.0003,1.4689624471455784,1.4837776364112387,0.422971741112124,0.4128142728101838,0.43095398812425484,0.4022979972069772,0.42683754120610906,0.3836734693877551,0.35978419419386976,0.3654475977811476,0.35392914605406345,0.39209496341948424
6,0.0003,1.4736203406220039,1.8050204354889539,0.4512306289881495,0.42340444750768436,0.4379912128074723,0.42093635078617014,0.45441189138898547,0.2816326530612245,0.2865573765023049,0.28073649739445117,0.2583303690720571,0.2694233513816999
7,0.0003,1.4484458264157027,1.4920465070374158,0.4585232452142206,0.4313530769621468,0.44208615206641094,0.426280498818749,0.45991219813312534,0.40408163265306124,0.39166957824901444,0.40708872033418037,0.36745410407428647,0.3962290598856069
8,0.0003,1.40831399050863,2.026778032341782,0.47128532360984504,0.4605923273584911,0.46259981361214825,0.44428178588202627,0.4745394763738434,0.2979591836734694,0.35997939258808825,0.32720162779774203,0.26142003670629627,0.2973610709278259
9,0.0003,1.3625178892392946,1.7039724632185334,0.4740200546946217,0.4637506895211756,0.4703565644704381,0.4501912222672038,0.481743823084417,0.42857142857142855,0.3714100612730749,0.3275107583688685,0.3225919345208391,0.38832861065380503
10,0.0003,1.3257231496091093,1.8002440929412842,0.5031905195989061,0.4929718926131239,0.5021859156594294,0.48006238205702073,0.5094169065524015,0.46530612244897956,0.4962120070815723,0.474803771172017,0.4290483922983657,0.45965967957404796
11,0.0003,1.2966701288927438,2.0850900572173448,0.5159525979945305,0.4914401130321376,0.4942209644508037,0.48429794243738616,0.5230339291214245,0.3836734693877551,0.46820862536627855,0.3091828297372236,0.3006601834527639,0.3430907323333306
12,0.0003,1.2810350718450416,4.518383724835454,0.5104831358249772,0.4983701749153108,0.5172550060457907,0.48871227436159453,0.5115539309964704,0.23265306122448978,0.5249416795296398,0.2410036883050597,0.19639764129582538,0.19764221777376106
13,0.0003,1.2943857962583127,1.3930236787212138,0.5232452142206017,0.5099087462877799,0.5289566123162112,0.504096389342291,0.5286651195294584,0.43673469387755104,0.4317857845968791,0.45012203944781365,0.405391171192026,0.4261491822227891
14,0.0003,1.2706376502159626,1.4417063309221851,0.5223336371923427,0.5062151922976665,0.5243100163203424,0.5009143605270138,0.5289552324749757,0.45714285714285713,0.49606998963406296,0.47402681526731144,0.42103543706413143,0.45683750629171527
15,0.0003,1.172086352854288,1.3601544292605654,0.5633546034639927,0.5459758157545596,0.5738325905562446,0.5475462091763094,0.5632218620091771,0.43673469387755104,0.4647399803133679,0.4730191781405835,0.42961494368401426,0.42848344561070484
16,0.0003,1.203319573793611,1.3244888840889444,0.5414767547857794,0.5259690995646052,0.5506247701367679,0.5247633491013363,0.5441962593035126,0.4897959183673469,0.5043747437917107,0.5299455000852279,0.48208621034191235,0.48466468261527623
17,0.0003,1.1506979982203098,1.8841956615448,0.5615314494074749,0.5467309831825259,0.5790713615427007,0.5454870731365499,0.5637131047933873,0.42448979591836733,0.520929217260739,0.47942896475069885,0.42293780808488823,0.42972303367679365
18,0.0003,1.083961586519709,1.7020295366948965,0.5989061075660893,0.5862153905100133,0.61997091395269,0.5860178057332505,0.6015062904146651,0.4489795918367347,0.4776179969595494,0.5207813145788337,0.4387378567590978,0.4262021951703612
19,0.0003,1.0339623382119776,1.3835275036948067,0.6061987237921604,0.5892828989098927,0.6245111879396488,0.5912600008815617,0.6048475892639775,0.5387755102040817,0.5330853327050081,0.5614642377366587,0.5251288204050986,0.5478891362664637
20,0.0003,1.0408574263399692,1.2893589263059655,0.6116681859617138,0.5981240072536611,0.6362597905633763,0.5987681230882106,0.6117818726006111,0.5346938775510204,0.5395905685734436,0.572063491764445,0.5267816326639856,0.530348531597031
21,0.0003,0.9827469835090116,1.197150112658131,0.6335460346399271,0.6168828826515633,0.6406978844946941,0.6159556285200071,0.6327507957875932,0.6244897959183674,0.5098767349725204,0.5657968290438117,0.5260775735266933,0.6032328061928318
22,0.0003,1.0040975956886382,4.411385312372325,0.6052871467639015,0.5878704115484138,0.6300257194859935,0.5943761472832872,0.6059704401030666,0.3183673469387755,0.44390280262373283,0.30573774093791756,0.23159796419759168,0.2509975955011935
23,0.0003,1.0107310177960391,1.3336413130468252,0.6171376481312671,0.6026650846741347,0.6416314969160167,0.6059638040628256,0.6168006644052445,0.5265306122448979,0.5480293959326218,0.5304895379212983,0.49153545430946055,0.5319068449008281
24,0.0003,0.9283789006166275,1.2431643573605284,0.6536007292616226,0.6349624642360291,0.665954381277542,0.6386229699486239,0.652058933197466,0.5714285714285714,0.5960860856922444,0.5775333926314,0.5391726035067927,0.5872076681108785
25,0.0003,0.8970640128921571,1.3151508297239032,0.6718322698268003,0.6507144734254022,0.6871775545433874,0.6575909985187329,0.6730092256616516,0.5061224489795918,0.5767261088486687,0.5395824803986672,0.49754217902213066,0.5417079739651389
26,0.0003,0.8606711178338843,1.3790494544165475,0.6873290793072014,0.6682154600297836,0.7093540434139479,0.6712633317173053,0.6881535135766257,0.5346938775510204,0.5415690466590962,0.6146617396553954,0.5280439919037462,0.5192830907613218
27,0.0003,0.8680105639677648,1.3194105732197665,0.6918869644484958,0.674128268573666,0.7083328645356602,0.678479958658395,0.6924472770165505,0.5877551020408164,0.5984671384671384,0.5886423005927538,0.5668984804930701,0.6128858229307995
28,0.0003,0.8533047330086081,1.0262047529220581,0.6918869644484958,0.6677167695234618,0.7078189196219081,0.6752063263083596,0.6922106895194405,0.6612244897959184,0.648411290375363,0.6732401108777831,0.638903821997224,0.662059111045015
29,0.0003,0.8364367823005266,1.2214065425249996,0.6937101185050136,0.674267643431361,0.7127036211064118,0.6831338881672383,0.6937397027879508,0.6489795918367347,0.6549343584558288,0.6834114578752342,0.6292872795325483,0.6542082729901775
30,0.0003,0.7706336840348779,1.9391956380435398,0.7064721969006381,0.6853074539987211,0.7274283004087482,0.6925133888680165,0.7076633676772057,0.3877551020408163,0.48477120251313804,0.4347687713157245,0.3628714701309983,0.41611798352640605
31,0.0003,0.7901399429537757,0.9792086844541589,0.7046490428441203,0.6829462953401654,0.7144320837313654,0.6881968659802357,0.704821999412738,0.6653061224489796,0.6344946617124037,0.6647019656749338,0.6432941644807366,0.6668511665008228
32,0.0003,0.7517446806567739,1.3984941365767498,0.7192342752962625,0.6975424009166399,0.738019948232595,0.7088474049902412,0.7184934803119655,0.5102040816326531,0.55823547367665,0.5701352129539272,0.5093820179605509,0.49659714515960873
33,0.0003,0.7705770715215364,1.2082588327174284,0.7183226982680037,0.6933254049766827,0.7260544324692031,0.7007630408527418,0.7193553198202978,0.5795918367346938,0.5909493058130433,0.5616429322196581,0.5512710828338571,0.6019963382791499
34,0.0003,0.7194606735691116,1.2547399778755344,0.7247037374658158,0.7089980902569758,0.7460460339913225,0.7205467693501593,0.7242119925297745,0.5795918367346938,0.617268763942151,0.583446810971351,0.5516097857101544,0.6145365068599761
35,0.0003,0.7233932937615115,1.4008008786610195,0.7137648131267093,0.6959878688429354,0.7422396696281558,0.7070669274346381,0.7122388464252554,0.49387755102040815,0.5844297567511854,0.5163172192815488,0.4499097516732549,0.49498332143271195
36,0.0003,0.6566089362367893,1.4606695943949173,0.763901549680948,0.7474500842611724,0.7737266890722635,0.7570412349620596,0.7632805683968643,0.6489795918367347,0.6430497726730878,0.6624097500339722,0.6313027935967447,0.6527114933636592
37,0.00015,0.5749920602266421,1.0717766820168009,0.7912488605287147,0.7717238408509597,0.810279974049983,0.7835013906109404,0.7899124345211084,0.6448979591836734,0.6727683124084707,0.6667182069476691,0.6313406557898895,0.6570180601666644
38,0.00015,0.5435162043723608,0.8370289245430305,0.8040109389243391,0.788067660635772,0.8166523092506038,0.798215780648083,0.8031156268544458,0.7346938775510204,0.7197420380532336,0.7358421916056441,0.7213693496781732,0.734643765075938
39,0.00015,0.5476957511228111,1.043703488914334,0.8003646308113036,0.7859601347252981,0.8186698569238593,0.7974493930543552,0.7990704670341501,0.6081632653061224,0.671830757676788,0.5931807375055982,0.5504432769124675,0.632307832046913
40,0.00015,0.5311585999719642,0.9612169557688187,0.8030993618960802,0.7883665004564882,0.8191767242059322,0.8004710447127348,0.8023947589502852,0.726530612244898,0.6889289582015752,0.7296154798032722,0.7019800242292678,0.7272637158241388
41,0.00015,0.5293810112485042,0.9770745961033568,0.8103919781221514,0.7905862279098773,0.8326525508117574,0.8044867531846506,0.8098293873714105,0.746938775510204,0.7523051660982695,0.7414113325363618,0.7303553200913955,0.745113339458075
42,0.00015,0.4978985071399588,1.6279713260884188,0.8113035551504102,0.7982816470958735,0.8343478644573258,0.8124441634077307,0.8105403610172299,0.4857142857142857,0.6342535081665517,0.5066083144610851,0.4870706505571647,0.5482398501940307
43,0.00015,0.5254554985975719,0.8309888438910854,0.8113035551504102,0.7925542466025502,0.828626118333648,0.8058519607881208,0.8109593435844704,0.726530612244898,0.7411808155456775,0.7224161767496149,0.7110959179224379,0.7225932078470263
44,0.00015,0.5038920529560273,1.114405054097273,0.8113035551504102,0.7894194127323836,0.8244262201229727,0.801479378373076,0.8113760969073811,0.6775510204081633,0.6779212415960535,0.7157175858387882,0.6605649574637867,0.6925485861240256
45,0.00015,0.4957211038255648,1.497955644373991,0.8258887876025525,0.8089260828972012,0.8403900516085557,0.821189755743978,0.8255252908883752,0.6244897959183674,0.6555987883272009,0.6562701786834643,0.6086683831781871,0.6435163964575729
46,0.00015,0.47288101643948743,0.9244870735674489,0.8204193254329991,0.8081740694197527,0.8433148017483632,0.822094308594829,0.8198718100178544,0.763265306122449,0.7728200141243619,0.7307288611317014,0.7344858084940163,0.7605335969678916
47,0.00015,0.4539459639499703,1.0942828725795357,0.8322698268003647,0.813247596223972,0.834831400610682,0.822200153361217,0.8325389142966801,0.6448979591836734,0.6697078544061302,0.6406135231011135,0.6146122288326581,0.6825132390070782
48,0.00015,0.4961485478045621,0.7508487570042512,0.8122151321786691,0.7907538249507161,0.8291794717044696,0.804445676501175,0.8124573785550465,0.8081632653061225,0.7848421802369171,0.7917304165553127,0.7830710856872839,0.8109934103758566
49,0.00015,0.44964801689224454,0.8391323902169052,0.8322698268003647,0.8166702802164515,0.84863177240552,0.8285075002536445,0.8322236959562888,0.7795918367346939,0.7497120596205962,0.7950832045355103,0.7621425866752783,0.7826210744589347
50,0.00015,0.4651199747403318,0.9541631328816317,0.8340929808568824,0.8205866665037346,0.848915925227956,0.8319025956781972,0.8340815955458848,0.636734693877551,0.6615696818486755,0.661701396461022,0.6176410953675874,0.6356770236770412
51,0.00015,0.41763718104297287,0.8570678895833541,0.8505013673655424,0.834596922587976,0.8674635787390269,0.8477591206426222,0.8504055723828416,0.7306122448979592,0.7162772359587928,0.7377031128909054,0.7095919625168143,0.7376109555866638
52,0.00015,0.43655080532310436,0.796731352562807,0.8277119416590701,0.8131216234316478,0.8410272234212148,0.8242255397891641,0.8277206827584964,0.8,0.7662331370180206,0.7849557535144717,0.7726555080143912,0.8011537043895227
53,0.00015,0.3917743599784298,0.8064714079000512,0.8587055606198724,0.8416729545157585,0.8737551470572562,0.8544913034186076,0.858952086061487,0.7387755102040816,0.7318873173238544,0.7088076438593629,0.708130728905043,0.7373931690388045
54,7.5e-05,0.3796543689510881,0.812116584485891,0.8742023701002735,0.8646755755680613,0.8857769130465689,0.873664724144697,0.8738723178841465,0.8163265306122449,0.7851255431958445,0.8115708533508723,0.7924817485139867,0.8197382107204191
55,7.5e-05,0.3422859103547081,0.7779703514916556,0.8742023701002735,0.8628850892178529,0.888925169213767,0.8741194784874016,0.8741501162814823,0.7877551020408163,0.7676181529122705,0.7465505989038416,0.7464616538278589,0.7875687640142778
56,7.5e-05,0.32185358586046187,0.7439738599621519,0.8960802187784868,0.8892444607865472,0.9006983338353921,0.8938852391182345,0.8956614487823416,0.8204081632653061,0.7863785903377369,0.8169488160809104,0.7964741821502811,0.8228793321704906
57,7.5e-05,0.3483039424325948,0.7031249764014263,0.8705560619872379,0.8531246549039425,0.8808994399757109,0.8643652126426994,0.8707296053016661,0.8081632653061225,0.7731390795906924,0.7981365095147033,0.7753672239897109,0.8139772364642059
58,7.5e-05,0.3399761940200653,0.7547433845850886,0.8787602552415679,0.8687781798035471,0.8889328720647569,0.8777755323594804,0.8786827839679567,0.7795918367346939,0.7589685110375143,0.7857572567763101,0.7515190138769546,0.789297651768893
59,7.5e-05,0.33937387082831033,0.6914381572178432,0.8732907930720146,0.8588309350099458,0.885880660649382,0.8693040529700586,0.8733569859969142,0.7877551020408163,0.76174201987179,0.7510193992371471,0.7531726032343773,0.7878720420848375
60,7.5e-05,0.31700687804543765,0.6296706309732125,0.877848678213309,0.8667160466823397,0.8915284029467306,0.8772012937408061,0.8770791119243362,0.8081632653061225,0.7787137139710295,0.7931744956947214,0.7828987872697987,0.809745645569385
61,7.5e-05,0.2989737141262757,0.7267932478262453,0.8887876025524157,0.8792698806084266,0.9020423207855796,0.8888889319206373,0.8882794615494184,0.7877551020408163,0.7493115492199914,0.7677311770933933,0.7527608040199927,0.79424423570822
62,3.75e-05,0.2910670644604519,0.6300406714483183,0.8997265268915223,0.8935379182603104,0.9156025335246273,0.9029432284110586,0.8991461622676834,0.8244897959183674,0.7945142481727848,0.8047102907476665,0.7986868090317407,0.8250431123259195
63,3.75e-05,0.27621393564514607,0.6335334404390686,0.8997265268915223,0.8931290934197688,0.913859449336055,0.9022179154268949,0.8993924780168033,0.8408163265306122,0.8079619211198158,0.8077538970758648,0.8046396197470972,0.8420300041837215
64,3.75e-05,0.25099110778560396,0.6336127630910094,0.9124886052871468,0.9004862452581422,0.9225549600507326,0.9102385906146132,0.9124107141674758,0.8448979591836735,0.826909439893936,0.8092327124079278,0.8159343374369961,0.8441890173622968
65,3.75e-05,0.21685179301903482,0.6384553908085336,0.9334548769371012,0.9320357888310341,0.9399921274835443,0.9357005890967809,0.933473941881702,0.8285714285714286,0.80303540347145,0.8089084449514038,0.804447541705262,0.8296803038953796
