cropFileName,cropPath,subset,className,sourceImageFileName,sourceImageStem,xmlFileName,xmlStem,xmlFilenameField,xmlFilenameFieldStem,objectIndexInSourceImage,sourceImageObjectCount,sourceImageDistinctClassCount,hasXmlFilenameMismatch,duplicateGroupSize,isExactDuplicateImage,isCrossSplitDuplicateImage,originalXmin,originalYmin,originalXmax,originalYmax,cropXmin,cropYmin,cropXmax,cropYmax,cropWidth,cropHeight,cropArea,bboxWidth,bboxHeight,bboxArea,trueClassIndex,predictedClassIndex,predictedClassName,predictedDecisionScore,isCorrectPrediction
val__0__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__0__obj001__corrosion.png,val,corrosion,0.jpg,0,0.xml,0,0.jpg,0,1,1,1,0,1,0,0,304,13,848,1020,304,13,848,1020,544,1007,547808,544,1007,547808,1,1,corrosion,0.9205250144004822,1
val__165__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__165__obj001__corrosion.png,val,corrosion,165.jpg,165,165.xml,165,165.jpg,165,1,2,1,0,1,0,0,208,31,481,486,208,31,481,486,273,455,124215,273,455,124215,1,3,thunderstrike,-0.20559987425804138,0
val__165__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__165__obj002__corrosion.png,val,corrosion,165.jpg,165,165.xml,165,165.jpg,165,2,2,1,0,1,0,0,256,502,750,1019,256,502,750,1019,494,517,255398,494,517,255398,1,1,corrosion,1.2050435543060303,1
val__205__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__205__obj001__corrosion.png,val,corrosion,205.jpg,205,205.xml,205,205.jpg,205,1,3,2,0,1,0,0,3,217,391,314,3,217,391,314,388,97,37636,388,97,37636,1,1,corrosion,1.0933992862701416,1
val__205__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__205__obj002__corrosion.png,val,corrosion,205.jpg,205,205.xml,205,205.jpg,205,2,3,2,0,1,0,0,405,269,900,428,405,269,900,428,495,159,78705,495,159,78705,1,1,corrosion,1.0306482315063477,1
val__230__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__230__obj001__corrosion.png,val,corrosion,230.jpg,230,230.xml,230,230.jpg,230,1,2,1,0,1,0,0,234,470,342,1010,234,470,342,1010,108,540,58320,108,540,58320,1,1,corrosion,-0.1123371347784996,1
val__230__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__230__obj002__corrosion.png,val,corrosion,230.jpg,230,230.xml,230,230.jpg,230,2,2,1,0,1,0,0,311,14,430,460,311,14,430,460,119,446,53074,119,446,53074,1,1,corrosion,1.165653109550476,1
val__248__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__248__obj001__corrosion.png,val,corrosion,248.jpg,248,248.xml,248,248.jpg,248,1,2,1,0,1,0,0,327,60,650,594,327,60,650,594,323,534,172482,323,534,172482,1,2,surface_injure,-0.426237553358078,0
val__248__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__248__obj002__corrosion.png,val,corrosion,248.jpg,248,248.xml,248,248.jpg,248,2,2,1,0,1,0,0,464,604,795,1010,464,604,795,1010,331,406,134386,331,406,134386,1,1,corrosion,0.32429683208465576,1
val__3__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__3__obj001__corrosion.png,val,corrosion,3.jpg,3,3.xml,3,3.jpg,3,1,1,1,0,1,0,0,767,27,887,1016,767,27,887,1016,120,989,118680,120,989,118680,1,1,corrosion,0.1269746869802475,1
val__346__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__346__obj001__corrosion.png,val,corrosion,346.jpg,346,346.xml,346,346.jpg,346,1,1,1,0,1,0,0,389,10,764,1022,389,10,764,1022,375,1012,379500,375,1012,379500,1,1,corrosion,0.35738950967788696,1
val__371__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__371__obj001__corrosion.png,val,corrosion,371.jpg,371,371.xml,371,371.jpg,371,1,1,1,0,1,0,0,572,5,608,461,572,5,608,461,36,456,16416,36,456,16416,1,5,hide_craze,0.8000048995018005,0
val__459__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__459__obj001__corrosion.png,val,corrosion,459.jpg,459,459.xml,459,459.jpg,459,1,2,1,0,1,0,0,444,505,509,1013,444,505,509,1013,65,508,33020,65,508,33020,1,1,corrosion,-0.2564184367656708,1
val__459__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__459__obj002__corrosion.png,val,corrosion,459.jpg,459,459.xml,459,459.jpg,459,2,2,1,0,1,0,0,464,6,570,500,464,6,570,500,106,494,52364,106,494,52364,1,1,corrosion,-0.41598132252693176,1
val__500__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__500__obj001__corrosion.png,val,corrosion,500.jpg,500,500.xml,500,500.jpg,500,1,1,1,0,1,0,0,537,8,722,989,537,8,722,989,185,981,181485,185,981,181485,1,5,hide_craze,-0.11337340623140335,0
val__540__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__540__obj001__corrosion.png,val,corrosion,540.jpg,540,540.xml,540,540.jpg,540,1,1,1,0,1,0,0,191,13,387,760,191,13,387,760,196,747,146412,196,747,146412,1,1,corrosion,1.195830225944519,1
val__549__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__549__obj001__corrosion.png,val,corrosion,549.jpg,549,549.xml,549,549.jpg,549,1,1,1,0,1,0,0,441,5,725,1024,441,5,725,1024,284,1019,289396,284,1019,289396,1,1,corrosion,1.1620440483093262,1
val__590__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__590__obj001__corrosion.png,val,corrosion,590.jpg,590,590.xml,590,590.jpg,590,1,1,1,0,1,0,0,9,131,1009,258,9,131,1009,258,1000,127,127000,1000,127,127000,1,5,hide_craze,0.12717795372009277,0
val__72__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__72__obj001__corrosion.png,val,corrosion,72.jpg,72,72.xml,72,72.jpg,72,1,1,1,0,1,0,0,462,378,503,944,462,378,503,944,41,566,23206,41,566,23206,1,5,hide_craze,0.6594166159629822,0
val__724__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__724__obj001__corrosion.png,val,corrosion,724.jpg,724,724.xml,724,724.jpg,724,1,1,1,0,1,0,0,316,6,570,1002,316,6,570,1002,254,996,252984,254,996,252984,1,1,corrosion,0.16256465017795563,1
val__866__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__866__obj001__corrosion.png,val,corrosion,866.jpg,866,866.xml,866,340.jpg,340,1,2,1,1,1,0,0,2,217,412,317,2,217,412,317,410,100,41000,410,100,41000,1,1,corrosion,1.4731460809707642,1
val__866__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__866__obj002__corrosion.png,val,corrosion,866.jpg,866,866.xml,866,340.jpg,340,2,2,1,1,1,0,0,428,281,881,428,428,281,881,428,453,147,66591,453,147,66591,1,1,corrosion,0.6644250750541687,1
val__891__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__891__obj001__corrosion.png,val,corrosion,891.jpg,891,891.xml,891,39.jpg,39,1,1,1,1,1,0,0,391,127,600,989,391,127,600,989,209,862,180158,209,862,180158,1,1,corrosion,0.3227083086967468,1
val__920__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__920__obj001__corrosion.png,val,corrosion,920.jpg,920,920.xml,920,920.jpg,920,1,1,1,0,1,0,0,2,602,283,677,2,602,283,677,281,75,21075,281,75,21075,1,2,surface_injure,1.1406450271606445,0
val__929__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__929__obj001__corrosion.png,val,corrosion,929.jpg,929,929.xml,929,485.jpg,485,1,1,1,1,1,0,0,12,20,992,481,12,20,992,481,980,461,451780,980,461,451780,1,1,corrosion,0.984712541103363,1
val__941__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__941__obj001__corrosion.png,val,corrosion,941.jpg,941,941.xml,941,515.jpg,515,1,1,1,1,1,0,0,55,433,861,760,55,433,861,760,806,327,263562,806,327,263562,1,1,corrosion,1.5954004526138306,1
val__955__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__955__obj001__corrosion.png,val,corrosion,955.jpg,955,955.xml,955,955.jpg,955,1,1,1,0,1,0,0,455,5,730,1016,455,5,730,1016,275,1011,278025,275,1011,278025,1,1,corrosion,1.4031602144241333,1
val__962__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__962__obj001__corrosion.png,val,corrosion,962.jpg,962,962.xml,962,566.jpg,566,1,1,1,1,1,0,0,378,6,619,889,378,6,619,889,241,883,212803,241,883,212803,1,1,corrosion,0.7626469135284424,1
val__978__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__978__obj001__corrosion.png,val,corrosion,978.jpg,978,978.xml,978,599.jpg,599,1,1,1,1,1,0,0,1,275,853,710,1,275,853,710,852,435,370620,852,435,370620,1,1,corrosion,0.7132856845855713,1
val__1062__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__1062__obj001__crack.png,val,crack,1062.jpg,1062,1062.xml,1062,94.jpg,94,1,2,1,1,1,0,0,273,394,319,594,273,394,319,594,46,200,9200,46,200,9200,4,4,crack,1.5258431434631348,1
val__1062__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__1062__obj002__crack.png,val,crack,1062.jpg,1062,1062.xml,1062,94.jpg,94,2,2,1,1,1,0,0,428,266,566,536,428,266,566,536,138,270,37260,138,270,37260,4,4,crack,0.8883439302444458,1
val__111__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__111__obj001__crack.png,val,crack,111.jpg,111,111.xml,111,111.jpg,111,1,1,1,0,1,0,0,416,263,586,402,416,263,586,402,170,139,23630,170,139,23630,4,4,crack,1.6805452108383179,1
val__143__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__143__obj001__crack.png,val,crack,143.jpg,143,143.xml,143,143.jpg,143,1,1,1,0,1,0,0,370,185,556,819,370,185,556,819,186,634,117924,186,634,117924,4,4,crack,0.9717132449150085,1
val__182__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__182__obj001__crack.png,val,crack,182.jpg,182,182.xml,182,182.jpg,182,1,1,1,0,1,0,0,391,17,512,731,391,17,512,731,121,714,86394,121,714,86394,4,4,crack,1.0985749959945679,1
val__187__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__187__obj001__crack.png,val,crack,187.jpg,187,187.xml,187,187.jpg,187,1,2,1,0,1,0,0,119,186,305,311,119,186,305,311,186,125,23250,186,125,23250,4,4,crack,1.3084951639175415,1
val__187__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__187__obj002__crack.png,val,crack,187.jpg,187,187.xml,187,187.jpg,187,2,2,1,0,1,0,0,595,53,761,200,595,53,761,200,166,147,24402,166,147,24402,4,4,crack,0.05478175729513168,1
val__203__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__203__obj001__crack.png,val,crack,203.jpg,203,203.xml,203,203.jpg,203,1,2,1,0,1,0,0,284,66,433,200,284,66,433,200,149,134,19966,149,134,19966,4,2,surface_injure,0.08754351735115051,0
val__203__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__203__obj002__crack.png,val,crack,203.jpg,203,203.xml,203,203.jpg,203,2,2,1,0,1,0,0,742,202,897,300,742,202,897,300,155,98,15190,155,98,15190,4,5,hide_craze,0.23113815486431122,0
val__225__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__225__obj001__crack.png,val,crack,225.jpg,225,225.xml,225,225.jpg,225,1,1,1,0,1,0,0,372,1,497,364,372,1,497,364,125,363,45375,125,363,45375,4,5,hide_craze,0.14572495222091675,0
val__305__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__305__obj001__crack.png,val,crack,305.jpg,305,305.xml,305,305.jpg,305,1,2,1,0,1,0,0,275,389,323,591,275,389,323,591,48,202,9696,48,202,9696,4,4,crack,0.7376942038536072,1
val__305__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__305__obj002__crack.png,val,crack,305.jpg,305,305.xml,305,305.jpg,305,2,2,1,0,1,0,0,419,263,569,530,419,263,569,530,150,267,40050,150,267,40050,4,4,crack,1.0445202589035034,1
val__338__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__338__obj001__crack.png,val,crack,338.jpg,338,338.xml,338,338.jpg,338,1,1,1,0,1,0,0,481,219,819,400,481,219,819,400,338,181,61178,338,181,61178,4,4,crack,0.2760672867298126,1
val__348__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__348__obj001__crack.png,val,crack,348.jpg,348,348.xml,348,348.jpg,348,1,2,1,0,1,0,0,253,335,314,566,253,335,314,566,61,231,14091,61,231,14091,4,4,crack,1.3563079833984375,1
val__348__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__348__obj002__crack.png,val,crack,348.jpg,348,348.xml,348,348.jpg,348,2,2,1,0,1,0,0,445,194,623,491,445,194,623,491,178,297,52866,178,297,52866,4,4,crack,2.683734178543091,1
val__433__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__433__obj001__crack.png,val,crack,433.jpg,433,433.xml,433,433.jpg,433,1,1,1,0,1,0,0,494,264,597,777,494,264,597,777,103,513,52839,103,513,52839,4,4,crack,0.9584270119667053,1
val__486__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__486__obj001__crack.png,val,crack,486.jpg,486,486.xml,486,486.jpg,486,1,1,1,0,1,0,0,294,28,641,486,294,28,641,486,347,458,158926,347,458,158926,4,0,craze,0.8779115676879883,0
val__552__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__552__obj001__crack.png,val,crack,552.jpg,552,552.xml,552,552.jpg,552,1,1,1,0,1,0,0,325,1,809,786,325,1,809,786,484,785,379940,484,785,379940,4,5,hide_craze,1.3846096992492676,0
val__562__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__562__obj001__crack.png,val,crack,562.jpg,562,562.xml,562,562.jpg,562,1,2,1,0,1,0,0,144,555,261,849,144,555,261,849,117,294,34398,117,294,34398,4,4,crack,1.8284285068511963,1
val__562__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__562__obj002__crack.png,val,crack,562.jpg,562,562.xml,562,562.jpg,562,2,2,1,0,1,0,0,453,366,697,781,453,366,697,781,244,415,101260,244,415,101260,4,4,crack,1.8389968872070312,1
val__567__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__567__obj001__crack.png,val,crack,567.jpg,567,567.xml,567,567.jpg,567,1,1,1,0,1,0,0,362,169,559,797,362,169,559,797,197,628,123716,197,628,123716,4,4,crack,0.5971214175224304,1
val__584__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__584__obj001__crack.png,val,crack,584.jpg,584,584.xml,584,584.jpg,584,1,1,1,0,1,0,0,28,149,334,835,28,149,334,835,306,686,209916,306,686,209916,4,2,surface_injure,0.6120595932006836,0
val__59__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__59__obj001__crack.png,val,crack,59.jpg,59,59.xml,59,59.jpg,59,1,1,1,0,1,0,0,767,380,903,614,767,380,903,614,136,234,31824,136,234,31824,4,4,crack,1.3050177097320557,1
val__602__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__602__obj001__crack.png,val,crack,602.jpg,602,602.xml,602,602.jpg,602,1,1,1,0,1,0,0,139,399,650,745,139,399,650,745,511,346,176806,511,346,176806,4,5,hide_craze,1.080047369003296,0
val__69__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__69__obj001__crack.png,val,crack,69.jpg,69,69.xml,69,69.jpg,69,1,2,1,0,1,0,0,278,78,445,263,278,78,445,263,167,185,30895,167,185,30895,4,5,hide_craze,0.8105401992797852,0
val__69__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__69__obj002__crack.png,val,crack,69.jpg,69,69.xml,69,69.jpg,69,2,2,1,0,1,0,0,761,245,928,385,761,245,928,385,167,140,23380,167,140,23380,4,0,craze,0.499223917722702,0
val__70__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__70__obj001__crack.png,val,crack,70.jpg,70,70.xml,70,70.jpg,70,1,2,1,0,1,0,0,184,213,392,567,184,213,392,567,208,354,73632,208,354,73632,4,4,crack,0.6559178829193115,1
val__70__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__70__obj002__crack.png,val,crack,70.jpg,70,70.xml,70,70.jpg,70,2,2,1,0,1,0,0,545,16,659,466,545,16,659,466,114,450,51300,114,450,51300,4,4,crack,1.603912591934204,1
val__738__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__738__obj001__crack.png,val,crack,738.jpg,738,738.xml,738,738.jpg,738,1,1,1,0,1,0,0,259,270,362,744,259,270,362,744,103,474,48822,103,474,48822,4,4,crack,0.8851598501205444,1
val__739__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__739__obj001__crack.png,val,crack,739.jpg,739,739.xml,739,739.jpg,739,1,2,1,0,1,0,0,103,211,284,367,103,211,284,367,181,156,28236,181,156,28236,4,2,surface_injure,0.49570903182029724,0
val__739__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__739__obj002__crack.png,val,crack,739.jpg,739,739.xml,739,739.jpg,739,2,2,1,0,1,0,0,584,63,753,228,584,63,753,228,169,165,27885,169,165,27885,4,4,crack,1.5949909687042236,1
val__780__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__780__obj001__crack.png,val,crack,780.jpg,780,780.xml,780,168.jpg,168,1,1,1,1,1,0,0,391,414,694,685,391,414,694,685,303,271,82113,303,271,82113,4,4,crack,2.9221222400665283,1
val__792__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__792__obj001__crack.png,val,crack,792.jpg,792,792.xml,792,187.jpg,187,1,2,1,1,1,0,0,119,186,305,311,119,186,305,311,186,125,23250,186,125,23250,4,4,crack,1.0890347957611084,1
